Name,Url,FV,LOT,Location,Sale Date
2015 NISSAN SENTRA S,https://www.copart.com/lot/30869012/,3N1AB7AP7FY349757,30869012,NJ - TRENTON,9/26/2022
2013 KIA OPTIMA LX,https://www.copart.com/lot/31073152/,5XXGM4A77DG149628,31073152,NC - LUMBERTON,9/26/2022
2011 TOYOTA CAMRY BASE,https://www.copart.com/lot/31419282/,4T1BF3EK4BU733078,31419282,MD - BALTIMORE,9/26/2022
2010 ACURA TL ,https://www.copart.com/lot/31488892/,19UUA8F29AA004678,31488892,NC - LUMBERTON,9/26/2022
2015 LACR TRAILER,https://www.copart.com/lot/31731522/,5ZT2LCYB8FB006079,31731522,NY - BUFFALO,9/26/2022
2005 TOYOTA COROLLA CE,https://www.copart.com/lot/32254542/,2T1BR30E85C324774,32254542,MA - SOUTH BOSTON,9/26/2022
2016 FORD ESCAPE SE,https://www.copart.com/lot/33165662/,1FMCU0GX1GUC72897,33165662,NC - LUMBERTON,9/26/2022
2011 CHEVROLET SILVERADO C1500,https://www.copart.com/lot/33765132/,1GCNCPEX2BZ246073,33765132,NC - CHINA GROVE,9/26/2022
2008 DODGE NITRO SLT,https://www.copart.com/lot/33768172/,1D8GT58K78W127718,33768172,GA - FAIRBURN,9/26/2022
2010 DODGE RAM 1500 ,https://www.copart.com/lot/33820852/,1D7RV1CT4AS201156,33820852,KY - LOUISVILLE,9/26/2022
2016 DODGE CHARGER SXT,https://www.copart.com/lot/34107052/,2C3CDXHG7GH246713,34107052,NC - LUMBERTON,9/26/2022
2000 LINCOLN LS ,https://www.copart.com/lot/34516522/,1LNHM87A3YY815242,34516522,NC - LUMBERTON,9/26/2022
2016 FORD ESCAPE S,https://www.copart.com/lot/35264042/,1FMCU0F79GUA12054,35264042,NJ - TRENTON,9/26/2022
2014 FORD F150 SUPER CAB,https://www.copart.com/lot/35659752/,1FTFX1CF7EFC85859,35659752,NC - CHINA GROVE,9/26/2022
2009 MERCEDES-BENZ S 550,https://www.copart.com/lot/36571131/,WDDNG71X89A279779,36571131,FL - JACKSONVILLE NORTH,9/26/2022
2008 HONDA FIT ,https://www.copart.com/lot/36792662/,JHMGD38438S037943,36792662,FL - ORLANDO NORTH,9/26/2022
2011 HYUNDAI SONATA GLS,https://www.copart.com/lot/36841972/,5NPEB4AC7BH189574,36841972,PA - YORK HAVEN,9/26/2022
2014 VOLKSWAGEN JETTA SE,https://www.copart.com/lot/37089042/,3VWD17AJ0EM396852,37089042,PA - YORK HAVEN,9/26/2022
2013 DODGE DART SXT,https://www.copart.com/lot/37453552/,1C3CDFBA1DD310347,37453552,NC - LUMBERTON,9/26/2022
2012 TOYOTA HIGHLANDER BASE,https://www.copart.com/lot/37644561/,5TDBK3EH5CS143062,37644561,VA - RICHMOND EAST,9/26/2022
1999 TOYOTA CAMRY CE,https://www.copart.com/lot/37650532/,4T1BG22K0XU576443,37650532,PA - YORK HAVEN,9/26/2022
2011 FORD ECONOLINE E150 VAN,https://www.copart.com/lot/37886832/,1FTNE1EW2BDA82481,37886832,NJ - TRENTON,9/26/2022
2012 HONDA CIVIC EX,https://www.copart.com/lot/37931362/,2HGFG3B88CH548078,37931362,KY - LOUISVILLE,9/26/2022
2015 HYUNDAI SONATA SE,https://www.copart.com/lot/38174042/,5NPE24AF9FH004683,38174042,NC - LUMBERTON,9/26/2022
2016 NISSAN VERSA S,https://www.copart.com/lot/38679472/,3N1CN7APXGL903811,38679472,NC - LUMBERTON,9/26/2022
2016 NISSAN VERSA S,https://www.copart.com/lot/38716682/,3N1CN7AP6GL839072,38716682,NC - LUMBERTON,9/26/2022
2011 MAZDA CX-9 ,https://www.copart.com/lot/39442692/,JM3TB2CA7B0332700,39442692,NC - LUMBERTON,9/26/2022
2014 AUDI A4 PREMIUM,https://www.copart.com/lot/39449632/,WAUBFAFL0EN032467,39449632,MA - SOUTH BOSTON,9/26/2022
2013 CHRYSLER 200 TOURING,https://www.copart.com/lot/39521932/,1C3CCBBB1DN571587,39521932,NC - LUMBERTON,9/26/2022
2015 HONDA ACCORD EX,https://www.copart.com/lot/39696252/,1HGCR2F71FA054950,39696252,NC - LUMBERTON,9/26/2022
2016 HYUNDAI ELANTRA SE,https://www.copart.com/lot/39918132/,5NPDH4AE2GH668195,39918132,NJ - TRENTON,9/26/2022
2003 JEEP GRAND CHEROKEE LAREDO,https://www.copart.com/lot/39946502/,1J4GX48S23C550711,39946502,NC - LUMBERTON,9/26/2022
2015 CHEVROLET SPARK LS,https://www.copart.com/lot/40189692/,KL8CB6S9XFC751015,40189692,SC - SPARTANBURG,9/26/2022
2016 NISSAN ROGUE S,https://www.copart.com/lot/40318892/,JN8AT2MV2GW135201,40318892,NJ - TRENTON,9/26/2022
2016 GMC ACADIA SLT-1,https://www.copart.com/lot/40323911/,1GKKRRKD3GJ128373,40323911,SC - SPARTANBURG,9/26/2022
2015 HONDA CIVIC SE,https://www.copart.com/lot/40485362/,19XFB2F77FE087805,40485362,SC - SPARTANBURG,9/26/2022
2016 FORD MUSTANG ,https://www.copart.com/lot/40810052/,1FA6P8TH9G5283426,40810052,FL - ORLANDO NORTH,9/26/2022
2014 JEEP COMPASS SPORT,https://www.copart.com/lot/40989892/,1C4NJCBA6ED507740,40989892,FL - ORLANDO NORTH,9/26/2022
2015 KIA OPTIMA EX,https://www.copart.com/lot/41083002/,5XXGN4A79FG422472,41083002,PA - YORK HAVEN,9/26/2022
2014 AUDI A4 PREMIUM,https://www.copart.com/lot/41105542/,WAUAFAFL1EN013972,41105542,KY - LEXINGTON EAST,9/26/2022
2016 HONDA ACCORD EX,https://www.copart.com/lot/41281552/,1HGCR2F76GA174051,41281552,NC - CHINA GROVE,9/26/2022
2011 NISSAN SENTRA 2.0,https://www.copart.com/lot/41281670/,3N1AB6AP6BL688964,41281670,NC - LUMBERTON,9/26/2022
2008 CHEVROLET SILVERADO C1500,https://www.copart.com/lot/41416892/,2GCEC130381264196,41416892,NC - LUMBERTON,9/26/2022
2002 BUICK CENTURY CUSTOM,https://www.copart.com/lot/41587282/,2G4WS52J521217599,41587282,NC - LUMBERTON,9/26/2022
2012 FIAT 500 POP,https://www.copart.com/lot/41651961/,3C3CFFAR7CT112690,41651961,GA - SAVANNAH,9/26/2022
2012 ACURA TL ,https://www.copart.com/lot/41684942/,19UUA9F57CA000437,41684942,NY - LONG ISLAND,9/26/2022
2005 MITSUBISHI GALANT ES PREMIUM,https://www.copart.com/lot/41814212/,4A3AB56FX5E028581,41814212,FL - ORLANDO NORTH,9/26/2022
2006 TOYOTA CAMRY LE,https://www.copart.com/lot/41853832/,4T1BE32K06U742678,41853832,FL - ORLANDO NORTH,9/26/2022
2014 CHEVROLET CRUZE LS,https://www.copart.com/lot/41863482/,1G1PA5SH0E7355060,41863482,NC - LUMBERTON,9/26/2022
2005 HONDA CIVIC LX,https://www.copart.com/lot/42151272/,2HGES165X5H621629,42151272,FL - JACKSONVILLE NORTH,9/26/2022
2004 VOLKSWAGEN PASSAT GLX 4MOTION,https://www.copart.com/lot/42154672/,WVWYH63B64E022976,42154672,NC - LUMBERTON,9/26/2022
2013 TOYOTA CAMRY L,https://www.copart.com/lot/42325522/,4T1BF1FK8DU717651,42325522,NC - LUMBERTON,9/26/2022
2005 CHEVROLET MALIBU LT,https://www.copart.com/lot/42381322/,1G1ZU54845F329807,42381322,VA - RICHMOND EAST,9/26/2022
2016 AUDI A3 PREMIUM,https://www.copart.com/lot/42421492/,WAUA7GFF9G1066116,42421492,NC - CHINA GROVE,9/26/2022
